id,description,country,letter,storage id
446,Sedmy Schod,Czechia,S,730
447,Primator,Czechia,P,575
448,Svijany,Czechia,S,778
449,Svijany,Czechia,S,779
450,Svijany,Czechia,S,780
451,Svijany,Czechia,S,781
452,Svijany,Czechia,S,782
453,Karel IV,Czechia,K,369
454,Hoegaarden,Czechia,H,325
455,Chouffe,Belgium,C,183
456,Salm Brau,Austria,S,731
457,Stiegl,Austria,S,758
458,Kelt,Czechia,K,401
459,Brand,Netherlands,B,64
460,Kolcavka,Czechia,K,402
461,Zubr,Czechia,Z,938
462,Bakalar,Czechia,B,80
463,Bakalar,Czechia,B,81
464,Postrizinske,Czechia,P,571
465,Pilsner Urquell,Czechia,P,623
466,Maisel,Germany,M,517
467,Hendrych,Czechia,H,340
468,Chodovar,Czechia,C,172
469,Pioneer,Czechia,P,573
470,Cestmir,Czechia,C,173
471,Pilsner Urquell,Czechia,P,616
472,Pilsner Urquell,Czechia,P,SS
473,Svijany,Czechia,S,766
474,Svijany,Czechia,S,765
475,Pilsner Urquell,Czechia,P,619
476,Pilsner Urquell,Czechia,P,620
477,Pioneer,Czechia,P,574
478,Pilsner Urquell,Czechia,P,627
479,Podripsky,Czechia,P,578
480,Kamenice,Czechia,K,409
481,Brouwerij 't IJ,Netherlands,B,83
482,Brezi Koza,Czechia,B,90
483,Kofola,Czechia,K,413
484,Kofola,Czechia,K,412
485,Breznak,Czechia,B,53
486,Breznak,Czechia,B,52
487,Breznak,Czechia,B,51
488,Budvar,Czechia,B,55
489,Budvar,Czechia,B,56
490,Budvar,Czechia,B,59
491,Budvar,Czechia,B,60
492,Budvar,Czechia,B,61
493,Bernard,Czechia,B,74
494,Bernard,Czechia,B,73
495,Bernard,Czechia,B,72
496,Bernard,Czechia,B,71
497,Bernard,Czechia,B,70
498,Bernard,Czechia,B,77
499,Bernard,Czechia,B,76
500,Bernard,Czechia,B,69
501,Bernard,Czechia,B,75
502,Beznoska,Czechia,B,65
503,Bohemia Regent,Czechia,B,68
504,Beskydsky,Czechia,B,85
505,Beskydsky,Czechia,B,86
506,Beskydsky,Czechia,B,87
507,Beskydsky,Czechia,B,88
508,Beskydsky,Czechia,B,89
509,Bakalar,Czechia,B,82
510,Budvar,Czechia,B,62
511,Branik,Czechia,B,91
512,Branik,Czechia,B,92
513,Beranek,Czechia,B,93
514,Beranek,Czechia,B,94
515,Beranek,Czechia,B,95
516,BeerGeek,Czechia,B,96
517,Bratcice,Czechia,B,97
518,Black Dogs,Czechia,B,98
519,Belveder,Czechia,B,99
520,Paulaner,Czechia,P,100
521,Brusseleir,Belgium,B,101
522,Bruxellensis,Belgium,B,102
523,Blanche de Namur,Belgium,B,103
524,Browar Amber,Poland,B,104
525,Aliance PIV,Czechia,A,29
526,Axiom,Czechia,A,28
527,Axiom,Czechia,A,27
528,Albrecht,Czechia,A,26
529,Aldersbacher,Germany,A,23
530,Aldersbacher,Germany,A,22
531,Augustin,Austria,A,30
532,Budvar,Czechia,B,63
533,Cobolis,Czechia,C,150
534,Chimay,Belgium,C,188
535,Cobra,Czechia,C,149
536,Chric,Czechia,C,165
537,Clock,Czechia,C,159
538,Cerna Hora,Czechia,C,147
539,Cerna Hora,Czechia,C,146
540,Cerna Hora,Czechia,C,148
541,Cerna Hora,Czechia,C,145
542,Domyno Bar,Czechia,D,197
543,Duvel,Belgium,D,211
544,Duvel,Belgium,D,210
545,Doubravnik,Czechia,D,215
546,Erb,Czechia,E,218
547,Erb,Czechia,E,217
548,Brevnovsky Klaster,Czechia,B,106
549,Falkenstejn,Czechia,F,243
550,Frankies,Czechia,F,240
551,Falkon,Czechia,F,233
552,Franziskaner,Germany,F,235
553,Feldschlobchen,Germany,F,234
554,Gambrinus,Czechia,G,294
555,Gambrinus,Czechia,G,293
556,Gambrinus,Czechia,G,292
557,Gambrinus,Czechia,G,291
558,Gambrinus,Czechia,G,286
559,Gambrinus,Czechia,G,287
560,Gambrinus,Czechia,G,284
561,Gambrinus,Czechia,G,282
562,Hoegaarden,Belgium,H,324
563,Hubertus,Czechia,H,315
564,Hubertus,Czechia,H,314
565,Hubertus,Czechia,H,313
566,Holba,Czechia,H,326
567,Holba,Czechia,H,328
568,Hertog Jan,Netherlands,H,332
569,Hertog Jan,Netherlands,H,331
