path,phash,whash
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00051_back.webp,95625ac92b256d6b,187e6647437e3e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00051_front.webp,95c95a926a266b6e,181e3e7e7e7e1c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00052_back.webp,d8da41650f660f76,3c5e9c9d9999423c
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00052_front.webp,84db536c4b661e8d,187e3e7f3b164218
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00053_back.webp,d76041cd1b30cfb6,3c42b985bdb9463c
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00053_front.webp,d03641ce1f744fc6,3c42988dbdbc5e38
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00054_back.webp,94615f1c5a8769cd,08007e7f5f5e3e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00054_front.webp,95d052234fb72b39,005e3e7f7f3e0a08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00055_back.webp,94915e5acb6669c9,3c7e6ee7ff000418
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00055_front.webp,d16d01a6cf611e9d,384a18feff1c423c
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00056_back.webp,95c15a5acaa56e3a,183e3e7f7f0e0e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00056_front.webp,95cd4b336c6c6992,003c7e7f7e6e3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00057_back.webp,95f55c2b548d54c9,007e7e7e7e1a3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00057_front.webp,95c971c64579d1c6,407e1e1e3f3f1f00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00058_back.webp,84d5518d543f553b,0c7e7e7e7e7e0000
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00058_front.webp,957f53c1446cc497,0e6e52527e7f3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00059_back.webp,91c6452b1df6493b,066e6e6e0f0f0f0e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00059_front.webp,947ec1c1753e1595,007f1f005e7f7f02
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00060_back.webp,94e35b964a63ac4b,081e7e7e7e7e0e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00060_front.webp,d49c0ba37b4c2dd2,383c7edae6777000
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00061_back.webp,c11c5e1f2ee178e1,001e7e7e7e7e6c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00061_front.webp,91664ec93b9d4b61,187e7e07437e7e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00062_back.webp,c5cb1e1d3a642fa4,1c3876ee6e367218
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00062_front.webp,c5c30f1f3a742f84,1c3c76ee6e363218
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00063_back.webp,853f50d1156fd4d8,3e0a1c037f7f7860
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00063_front.webp,c5cb35335c3c489d,666a7a727e3e0702
